Efectivo,567.6,10653.19,2219.31,12872.5
Stripe,35,"1414,05","296,95",1711
Tarjeta,"584,95","35208,76","7372,84","42581,6"
Transferencia,"1,5","3176,03","666,97",3843
Total,"1189,06","50452,03","10556,07","61008,1"
